date,year,month,day,hour,value
1/1/2017,2017,1,1,0,505
1/1/2017,2017,1,1,1,485
1/1/2017,2017,1,1,2,466
1/1/2017,2017,1,1,3,435
1/1/2017,2017,1,1,4,405
1/1/2017,2017,1,1,5,402
1/1/2017,2017,1,1,6,407
1/1/2017,2017,1,1,7,435
1/1/2017,2017,1,1,8,472
1/1/2017,2017,1,1,9,465
1/1/2017,2017,1,1,10,473
1/1/2017,2017,1,1,11,456
1/1/2017,2017,1,1,12,474
1/1/2017,2017,1,1,13,510
1/1/2017,2017,1,1,14,596
1/1/2017,2017,1,1,15,580
1/1/2017,2017,1,1,16,556
1/1/2017,2017,1,1,17,522
1/1/2017,2017,1,1,18,495
1/1/2017,2017,1,1,19,500
1/1/2017,2017,1,1,20,484
1/1/2017,2017,1,1,21,452
1/1/2017,2017,1,1,22,427
1/1/2017,2017,1,1,23,444
1/2/2017,2017,1,2,0,428
1/2/2017,2017,1,2,1,466
1/2/2017,2017,1,2,2,452
1/2/2017,2017,1,2,3,442
1/2/2017,2017,1,2,4,390
1/2/2017,2017,1,2,5,317
1/2/2017,2017,1,2,6,139
1/2/2017,2017,1,2,7,93
1/2/2017,2017,1,2,8,27
1/2/2017,2017,1,2,9,17
1/2/2017,2017,1,2,10,22
1/2/2017,2017,1,2,11,26
1/2/2017,2017,1,2,12,193
1/2/2017,2017,1,2,13,251
1/2/2017,2017,1,2,14,174
1/2/2017,2017,1,2,15,271
1/2/2017,2017,1,2,16,251
1/2/2017,2017,1,2,17,234
1/2/2017,2017,1,2,18,179
1/2/2017,2017,1,2,19,170
1/2/2017,2017,1,2,20,139
1/2/2017,2017,1,2,21,159
1/2/2017,2017,1,2,22,210
1/2/2017,2017,1,2,23,214
1/3/2017,2017,1,3,0,283
1/3/2017,2017,1,3,1,313
1/3/2017,2017,1,3,2,341
1/3/2017,2017,1,3,3,357
1/3/2017,2017,1,3,4,347
1/3/2017,2017,1,3,5,379
1/3/2017,2017,1,3,6,375
1/3/2017,2017,1,3,7,370
1/3/2017,2017,1,3,8,365
1/3/2017,2017,1,3,9,361
1/3/2017,2017,1,3,10,295
1/3/2017,2017,1,3,11,235
1/3/2017,2017,1,3,12,238
1/3/2017,2017,1,3,13,247
1/3/2017,2017,1,3,14,256
1/3/2017,2017,1,3,15,293
1/3/2017,2017,1,3,16,310
1/3/2017,2017,1,3,17,284
1/3/2017,2017,1,3,18,356
1/3/2017,2017,1,3,19,418
1/3/2017,2017,1,3,20,505
1/3/2017,2017,1,3,21,542
1/3/2017,2017,1,3,22,548
1/3/2017,2017,1,3,23,563
1/4/2017,2017,1,4,0,576
1/4/2017,2017,1,4,1,559
1/4/2017,2017,1,4,2,577
1/4/2017,2017,1,4,3,590
1/4/2017,2017,1,4,4,565
1/4/2017,2017,1,4,5,542
1/4/2017,2017,1,4,6,482
1/4/2017,2017,1,4,7,431
1/4/2017,2017,1,4,8,382
1/4/2017,2017,1,4,9,350
1/4/2017,2017,1,4,10,384
1/4/2017,2017,1,4,11,163
1/4/2017,2017,1,4,12,251
1/4/2017,2017,1,4,13,313
1/4/2017,2017,1,4,14,335
1/4/2017,2017,1,4,15,365
1/4/2017,2017,1,4,16,343
1/4/2017,2017,1,4,17,323
1/4/2017,2017,1,4,18,332
1/4/2017,2017,1,4,19,371
1/4/2017,2017,1,4,20,395
1/4/2017,2017,1,4,21,390
1/4/2017,2017,1,4,22,369
1/4/2017,2017,1,4,23,242
1/5/2017,2017,1,5,0,164
1/5/2017,2017,1,5,1,159
1/5/2017,2017,1,5,2,159
1/5/2017,2017,1,5,3,186
1/5/2017,2017,1,5,4,228
1/5/2017,2017,1,5,5,246
1/5/2017,2017,1,5,6,330
1/5/2017,2017,1,5,7,322
1/5/2017,2017,1,5,8,302
1/5/2017,2017,1,5,9,301
1/5/2017,2017,1,5,10,286
1/5/2017,2017,1,5,11,269
1/5/2017,2017,1,5,12,261
1/5/2017,2017,1,5,13,205
1/5/2017,2017,1,5,14,200
1/5/2017,2017,1,5,15,229
1/5/2017,2017,1,5,16,206
1/5/2017,2017,1,5,17,200
1/5/2017,2017,1,5,18,216
1/5/2017,2017,1,5,19,208
1/5/2017,2017,1,5,20,204
1/5/2017,2017,1,5,21,214
1/5/2017,2017,1,5,22,220
1/5/2017,2017,1,5,23,191
1/6/2017,2017,1,6,0,198
1/6/2017,2017,1,6,1,205
1/6/2017,2017,1,6,2,216
1/6/2017,2017,1,6,3,243
1/6/2017,2017,1,6,4,227
1/6/2017,2017,1,6,5,230
1/6/2017,2017,1,6,6,259
1/6/2017,2017,1,6,7,254
1/6/2017,2017,1,6,8,254
1/6/2017,2017,1,6,9,264
1/6/2017,2017,1,6,10,293
1/6/2017,2017,1,6,11,302
1/6/2017,2017,1,6,12,246
1/6/2017,2017,1,6,13,204
1/6/2017,2017,1,6,14,205
1/6/2017,2017,1,6,15,211
1/6/2017,2017,1,6,16,230
1/6/2017,2017,1,6,17,225
1/6/2017,2017,1,6,18,223
1/6/2017,2017,1,6,19,227
1/6/2017,2017,1,6,20,234
1/6/2017,2017,1,6,21,248
1/6/2017,2017,1,6,22,260
1/6/2017,2017,1,6,23,250
1/7/2017,2017,1,7,0,267
1/7/2017,2017,1,7,1,263
1/7/2017,2017,1,7,2,251
1/7/2017,2017,1,7,3,225
1/7/2017,2017,1,7,4,291
1/7/2017,2017,1,7,5,259
1/7/2017,2017,1,7,6,227
1/7/2017,2017,1,7,7,217
1/7/2017,2017,1,7,8,215
1/7/2017,2017,1,7,9,175
1/7/2017,2017,1,7,10,162
1/7/2017,2017,1,7,11,185
1/7/2017,2017,1,7,12,194
1/7/2017,2017,1,7,13,182
1/7/2017,2017,1,7,14,130
1/7/2017,2017,1,7,15,107
1/7/2017,2017,1,7,16,111
1/7/2017,2017,1,7,17,111
1/7/2017,2017,1,7,18,116
1/7/2017,2017,1,7,19,130
1/7/2017,2017,1,7,20,137
1/7/2017,2017,1,7,21,164
1/7/2017,2017,1,7,22,197
1/7/2017,2017,1,7,23,205
1/8/2017,2017,1,8,0,65
1/8/2017,2017,1,8,1,37
1/8/2017,2017,1,8,2,24
1/8/2017,2017,1,8,3,19
1/8/2017,2017,1,8,4,20
1/8/2017,2017,1,8,5,17
1/8/2017,2017,1,8,6,17
1/8/2017,2017,1,8,7,17
1/8/2017,2017,1,8,8,22
1/8/2017,2017,1,8,9,21
1/8/2017,2017,1,8,10,24
1/8/2017,2017,1,8,11,20
1/8/2017,2017,1,8,12,25
1/8/2017,2017,1,8,13,25
1/8/2017,2017,1,8,14,23
1/8/2017,2017,1,8,15,17
1/8/2017,2017,1,8,16,20
1/8/2017,2017,1,8,17,11
1/8/2017,2017,1,8,18,16
1/8/2017,2017,1,8,19,15
1/8/2017,2017,1,8,20,11
1/8/2017,2017,1,8,21,16
1/8/2017,2017,1,8,22,11
1/8/2017,2017,1,8,23,9
1/9/2017,2017,1,9,0,13
1/9/2017,2017,1,9,1,7
1/9/2017,2017,1,9,2,6
1/9/2017,2017,1,9,3,15
1/9/2017,2017,1,9,4,11
1/9/2017,2017,1,9,5,7
1/9/2017,2017,1,9,6,6
1/9/2017,2017,1,9,7,-999
1/9/2017,2017,1,9,8,11
1/9/2017,2017,1,9,9,14
1/9/2017,2017,1,9,10,11
1/9/2017,2017,1,9,11,16
1/9/2017,2017,1,9,12,15
1/9/2017,2017,1,9,13,13
1/9/2017,2017,1,9,14,21
1/9/2017,2017,1,9,15,20
1/9/2017,2017,1,9,16,35
1/9/2017,2017,1,9,17,36
1/9/2017,2017,1,9,18,47
1/9/2017,2017,1,9,19,60
1/9/2017,2017,1,9,20,94
1/9/2017,2017,1,9,21,136
1/9/2017,2017,1,9,22,150
1/9/2017,2017,1,9,23,151
1/10/2017,2017,1,10,0,115
1/10/2017,2017,1,10,1,60
1/10/2017,2017,1,10,2,15
1/10/2017,2017,1,10,3,10
1/10/2017,2017,1,10,4,6
1/10/2017,2017,1,10,5,4
1/10/2017,2017,1,10,6,10
1/10/2017,2017,1,10,7,8
1/10/2017,2017,1,10,8,12
1/10/2017,2017,1,10,9,8
1/10/2017,2017,1,10,10,6
1/10/2017,2017,1,10,11,9
1/10/2017,2017,1,10,12,9
1/10/2017,2017,1,10,13,6
1/10/2017,2017,1,10,14,5
1/10/2017,2017,1,10,15,10
1/10/2017,2017,1,10,16,-999
1/10/2017,2017,1,10,17,7
1/10/2017,2017,1,10,18,7
1/10/2017,2017,1,10,19,31
1/10/2017,2017,1,10,20,84
1/10/2017,2017,1,10,21,93
1/10/2017,2017,1,10,22,86
1/10/2017,2017,1,10,23,89
1/11/2017,2017,1,11,0,88
1/11/2017,2017,1,11,1,81
1/11/2017,2017,1,11,2,93
1/11/2017,2017,1,11,3,100
1/11/2017,2017,1,11,4,105
1/11/2017,2017,1,11,5,96
1/11/2017,2017,1,11,6,74
1/11/2017,2017,1,11,7,-999
1/11/2017,2017,1,11,8,58
1/11/2017,2017,1,11,9,55
1/11/2017,2017,1,11,10,48
1/11/2017,2017,1,11,11,61
1/11/2017,2017,1,11,12,71
1/11/2017,2017,1,11,13,58
1/11/2017,2017,1,11,14,46
1/11/2017,2017,1,11,15,41
1/11/2017,2017,1,11,16,45
1/11/2017,2017,1,11,17,76
1/11/2017,2017,1,11,18,98
1/11/2017,2017,1,11,19,99
1/11/2017,2017,1,11,20,69
1/11/2017,2017,1,11,21,36
1/11/2017,2017,1,11,22,21
1/11/2017,2017,1,11,23,35
1/12/2017,2017,1,12,0,46
1/12/2017,2017,1,12,1,20
1/12/2017,2017,1,12,2,18
1/12/2017,2017,1,12,3,25
1/12/2017,2017,1,12,4,26
1/12/2017,2017,1,12,5,30
1/12/2017,2017,1,12,6,25
1/12/2017,2017,1,12,7,19
1/12/2017,2017,1,12,8,16
1/12/2017,2017,1,12,9,24
1/12/2017,2017,1,12,10,25
1/12/2017,2017,1,12,11,24
1/12/2017,2017,1,12,12,22
1/12/2017,2017,1,12,13,51
1/12/2017,2017,1,12,14,75
1/12/2017,2017,1,12,15,66
1/12/2017,2017,1,12,16,89
1/12/2017,2017,1,12,17,102
1/12/2017,2017,1,12,18,104
1/12/2017,2017,1,12,19,116
1/12/2017,2017,1,12,20,83
1/12/2017,2017,1,12,21,18
1/12/2017,2017,1,12,22,5
1/12/2017,2017,1,12,23,7
1/13/2017,2017,1,13,0,11
1/13/2017,2017,1,13,1,9
1/13/2017,2017,1,13,2,6
1/13/2017,2017,1,13,3,6
1/13/2017,2017,1,13,4,5
1/13/2017,2017,1,13,5,5
1/13/2017,2017,1,13,6,6
1/13/2017,2017,1,13,7,6
1/13/2017,2017,1,13,8,9
1/13/2017,2017,1,13,9,8
1/13/2017,2017,1,13,10,7
1/13/2017,2017,1,13,11,12
1/13/2017,2017,1,13,12,12
1/13/2017,2017,1,13,13,15
1/13/2017,2017,1,13,14,9
1/13/2017,2017,1,13,15,7
1/13/2017,2017,1,13,16,8
1/13/2017,2017,1,13,17,7
1/13/2017,2017,1,13,18,11
1/13/2017,2017,1,13,19,17
1/13/2017,2017,1,13,20,11
1/13/2017,2017,1,13,21,17
1/13/2017,2017,1,13,22,17
1/13/2017,2017,1,13,23,20
1/14/2017,2017,1,14,0,16
1/14/2017,2017,1,14,1,11
1/14/2017,2017,1,14,2,12
1/14/2017,2017,1,14,3,11
1/14/2017,2017,1,14,4,6
1/14/2017,2017,1,14,5,5
1/14/2017,2017,1,14,6,9
1/14/2017,2017,1,14,7,11
1/14/2017,2017,1,14,8,12
1/14/2017,2017,1,14,9,17
1/14/2017,2017,1,14,10,22
1/14/2017,2017,1,14,11,14
1/14/2017,2017,1,14,12,11
1/14/2017,2017,1,14,13,8
1/14/2017,2017,1,14,14,6
1/14/2017,2017,1,14,15,12
1/14/2017,2017,1,14,16,18
1/14/2017,2017,1,14,17,18
1/14/2017,2017,1,14,18,20
1/14/2017,2017,1,14,19,31
1/14/2017,2017,1,14,20,54
1/14/2017,2017,1,14,21,47
1/14/2017,2017,1,14,22,45
1/14/2017,2017,1,14,23,38
1/15/2017,2017,1,15,0,31
1/15/2017,2017,1,15,1,20
1/15/2017,2017,1,15,2,37
1/15/2017,2017,1,15,3,53
1/15/2017,2017,1,15,4,50
1/15/2017,2017,1,15,5,52
1/15/2017,2017,1,15,6,51
1/15/2017,2017,1,15,7,35
1/15/2017,2017,1,15,8,23
1/15/2017,2017,1,15,9,33
1/15/2017,2017,1,15,10,27
1/15/2017,2017,1,15,11,32
1/15/2017,2017,1,15,12,34
1/15/2017,2017,1,15,13,42
1/15/2017,2017,1,15,14,47
1/15/2017,2017,1,15,15,55
1/15/2017,2017,1,15,16,59
1/15/2017,2017,1,15,17,69
1/15/2017,2017,1,15,18,69
1/15/2017,2017,1,15,19,69
1/15/2017,2017,1,15,20,81
1/15/2017,2017,1,15,21,85
1/15/2017,2017,1,15,22,90
1/15/2017,2017,1,15,23,89
1/16/2017,2017,1,16,0,94
1/16/2017,2017,1,16,1,99
1/16/2017,2017,1,16,2,101
1/16/2017,2017,1,16,3,111
1/16/2017,2017,1,16,4,109
1/16/2017,2017,1,16,5,102
1/16/2017,2017,1,16,6,107
1/16/2017,2017,1,16,7,93
1/16/2017,2017,1,16,8,81
1/16/2017,2017,1,16,9,75
1/16/2017,2017,1,16,10,55
1/16/2017,2017,1,16,11,58
1/16/2017,2017,1,16,12,68
1/16/2017,2017,1,16,13,89
1/16/2017,2017,1,16,14,95
1/16/2017,2017,1,16,15,99
1/16/2017,2017,1,16,16,114
1/16/2017,2017,1,16,17,126
1/16/2017,2017,1,16,18,125
1/16/2017,2017,1,16,19,139
1/16/2017,2017,1,16,20,133
1/16/2017,2017,1,16,21,143
1/16/2017,2017,1,16,22,119
1/16/2017,2017,1,16,23,119
1/17/2017,2017,1,17,0,110
1/17/2017,2017,1,17,1,103
1/17/2017,2017,1,17,2,104
1/17/2017,2017,1,17,3,121
1/17/2017,2017,1,17,4,129
1/17/2017,2017,1,17,5,133
1/17/2017,2017,1,17,6,131
1/17/2017,2017,1,17,7,126
1/17/2017,2017,1,17,8,151
1/17/2017,2017,1,17,9,133
1/17/2017,2017,1,17,10,125
1/17/2017,2017,1,17,11,151
1/17/2017,2017,1,17,12,158
1/17/2017,2017,1,17,13,168
1/17/2017,2017,1,17,14,158
1/17/2017,2017,1,17,15,136
1/17/2017,2017,1,17,16,141
1/17/2017,2017,1,17,17,178
1/17/2017,2017,1,17,18,193
1/17/2017,2017,1,17,19,183
1/17/2017,2017,1,17,20,188
1/17/2017,2017,1,17,21,180
1/17/2017,2017,1,17,22,210
1/17/2017,2017,1,17,23,179
1/18/2017,2017,1,18,0,130
1/18/2017,2017,1,18,1,111
1/18/2017,2017,1,18,2,84
1/18/2017,2017,1,18,3,47
1/18/2017,2017,1,18,4,26
1/18/2017,2017,1,18,5,23
1/18/2017,2017,1,18,6,19
1/18/2017,2017,1,18,7,20
1/18/2017,2017,1,18,8,26
1/18/2017,2017,1,18,9,20
1/18/2017,2017,1,18,10,24
1/18/2017,2017,1,18,11,19
1/18/2017,2017,1,18,12,24
1/18/2017,2017,1,18,13,17
1/18/2017,2017,1,18,14,18
1/18/2017,2017,1,18,15,27
1/18/2017,2017,1,18,16,47
1/18/2017,2017,1,18,17,58
1/18/2017,2017,1,18,18,48
1/18/2017,2017,1,18,19,51
1/18/2017,2017,1,18,20,46
1/18/2017,2017,1,18,21,57
1/18/2017,2017,1,18,22,76
1/18/2017,2017,1,18,23,74
1/19/2017,2017,1,19,0,77
1/19/2017,2017,1,19,1,91
1/19/2017,2017,1,19,2,100
1/19/2017,2017,1,19,3,112
1/19/2017,2017,1,19,4,150
1/19/2017,2017,1,19,5,129
1/19/2017,2017,1,19,6,107
1/19/2017,2017,1,19,7,111
1/19/2017,2017,1,19,8,115
1/19/2017,2017,1,19,9,96
1/19/2017,2017,1,19,10,31
1/19/2017,2017,1,19,11,18
1/19/2017,2017,1,19,12,12
1/19/2017,2017,1,19,13,13
1/19/2017,2017,1,19,14,14
1/19/2017,2017,1,19,15,11
1/19/2017,2017,1,19,16,14
1/19/2017,2017,1,19,17,9
1/19/2017,2017,1,19,18,13
1/19/2017,2017,1,19,19,10
1/19/2017,2017,1,19,20,11
1/19/2017,2017,1,19,21,8
1/19/2017,2017,1,19,22,8
1/19/2017,2017,1,19,23,7
1/20/2017,2017,1,20,0,6
1/20/2017,2017,1,20,1,5
1/20/2017,2017,1,20,2,9
1/20/2017,2017,1,20,3,7
1/20/2017,2017,1,20,4,7
1/20/2017,2017,1,20,5,8
1/20/2017,2017,1,20,6,7
1/20/2017,2017,1,20,7,7
1/20/2017,2017,1,20,8,6
1/20/2017,2017,1,20,9,18
1/20/2017,2017,1,20,10,16
1/20/2017,2017,1,20,11,22
1/20/2017,2017,1,20,12,16
1/20/2017,2017,1,20,13,13
1/20/2017,2017,1,20,14,14
1/20/2017,2017,1,20,15,23
1/20/2017,2017,1,20,16,29
1/20/2017,2017,1,20,17,27
1/20/2017,2017,1,20,18,30
1/20/2017,2017,1,20,19,43
1/20/2017,2017,1,20,20,50
1/20/2017,2017,1,20,21,52
1/20/2017,2017,1,20,22,58
1/20/2017,2017,1,20,23,69
1/21/2017,2017,1,21,0,66
1/21/2017,2017,1,21,1,69
1/21/2017,2017,1,21,2,95
1/21/2017,2017,1,21,3,117
1/21/2017,2017,1,21,4,127
1/21/2017,2017,1,21,5,107
1/21/2017,2017,1,21,6,65
1/21/2017,2017,1,21,7,11
1/21/2017,2017,1,21,8,9
1/21/2017,2017,1,21,9,6
1/21/2017,2017,1,21,10,6
1/21/2017,2017,1,21,11,7
1/21/2017,2017,1,21,12,9
1/21/2017,2017,1,21,13,6
1/21/2017,2017,1,21,14,16
1/21/2017,2017,1,21,15,7
1/21/2017,2017,1,21,16,6
1/21/2017,2017,1,21,17,9
1/21/2017,2017,1,21,18,8
1/21/2017,2017,1,21,19,9
1/21/2017,2017,1,21,20,12
1/21/2017,2017,1,21,21,10
1/21/2017,2017,1,21,22,13
1/21/2017,2017,1,21,23,9
1/22/2017,2017,1,22,0,12
1/22/2017,2017,1,22,1,19
1/22/2017,2017,1,22,2,11
1/22/2017,2017,1,22,3,12
1/22/2017,2017,1,22,4,15
1/22/2017,2017,1,22,5,17
1/22/2017,2017,1,22,6,17
1/22/2017,2017,1,22,7,14
1/22/2017,2017,1,22,8,20
1/22/2017,2017,1,22,9,16
1/22/2017,2017,1,22,10,20
1/22/2017,2017,1,22,11,21
1/22/2017,2017,1,22,12,15
1/22/2017,2017,1,22,13,19
1/22/2017,2017,1,22,14,22
1/22/2017,2017,1,22,15,28
1/22/2017,2017,1,22,16,35
1/22/2017,2017,1,22,17,56
1/22/2017,2017,1,22,18,71
1/22/2017,2017,1,22,19,68
1/22/2017,2017,1,22,20,53
1/22/2017,2017,1,22,21,52
1/22/2017,2017,1,22,22,43
1/22/2017,2017,1,22,23,43
1/23/2017,2017,1,23,0,37
1/23/2017,2017,1,23,1,33
1/23/2017,2017,1,23,2,25
1/23/2017,2017,1,23,3,17
1/23/2017,2017,1,23,4,16
1/23/2017,2017,1,23,5,14
1/23/2017,2017,1,23,6,21
1/23/2017,2017,1,23,7,19
1/23/2017,2017,1,23,8,20
1/23/2017,2017,1,23,9,19
1/23/2017,2017,1,23,10,18
1/23/2017,2017,1,23,11,21
1/23/2017,2017,1,23,12,20
1/23/2017,2017,1,23,13,22
1/23/2017,2017,1,23,14,30
1/23/2017,2017,1,23,15,41
1/23/2017,2017,1,23,16,41
1/23/2017,2017,1,23,17,44
1/23/2017,2017,1,23,18,54
1/23/2017,2017,1,23,19,69
1/23/2017,2017,1,23,20,97
1/23/2017,2017,1,23,21,103
1/23/2017,2017,1,23,22,120
1/23/2017,2017,1,23,23,129
1/24/2017,2017,1,24,0,157
1/24/2017,2017,1,24,1,154
1/24/2017,2017,1,24,2,140
1/24/2017,2017,1,24,3,142
1/24/2017,2017,1,24,4,135
1/24/2017,2017,1,24,5,139
1/24/2017,2017,1,24,6,122
1/24/2017,2017,1,24,7,68
1/24/2017,2017,1,24,8,44
1/24/2017,2017,1,24,9,33
1/24/2017,2017,1,24,10,38
1/24/2017,2017,1,24,11,32
1/24/2017,2017,1,24,12,60
1/24/2017,2017,1,24,13,74
1/24/2017,2017,1,24,14,75
1/24/2017,2017,1,24,15,84
1/24/2017,2017,1,24,16,111
1/24/2017,2017,1,24,17,129
1/24/2017,2017,1,24,18,139
1/24/2017,2017,1,24,19,144
1/24/2017,2017,1,24,20,140
1/24/2017,2017,1,24,21,143
1/24/2017,2017,1,24,22,132
1/24/2017,2017,1,24,23,146
1/25/2017,2017,1,25,0,184
1/25/2017,2017,1,25,1,193
1/25/2017,2017,1,25,2,204
1/25/2017,2017,1,25,3,220
1/25/2017,2017,1,25,4,251
1/25/2017,2017,1,25,5,256
1/25/2017,2017,1,25,6,235
1/25/2017,2017,1,25,7,193
1/25/2017,2017,1,25,8,157
1/25/2017,2017,1,25,9,143
1/25/2017,2017,1,25,10,116
1/25/2017,2017,1,25,11,123
1/25/2017,2017,1,25,12,141
1/25/2017,2017,1,25,13,145
1/25/2017,2017,1,25,14,156
1/25/2017,2017,1,25,15,167
1/25/2017,2017,1,25,16,186
1/25/2017,2017,1,25,17,204
1/25/2017,2017,1,25,18,208
1/25/2017,2017,1,25,19,218
1/25/2017,2017,1,25,20,243
1/25/2017,2017,1,25,21,249
1/25/2017,2017,1,25,22,279
1/25/2017,2017,1,25,23,289
1/26/2017,2017,1,26,0,301
1/26/2017,2017,1,26,1,299
1/26/2017,2017,1,26,2,328
1/26/2017,2017,1,26,3,361
1/26/2017,2017,1,26,4,353
1/26/2017,2017,1,26,5,355
1/26/2017,2017,1,26,6,331
1/26/2017,2017,1,26,7,311
1/26/2017,2017,1,26,8,290
1/26/2017,2017,1,26,9,288
1/26/2017,2017,1,26,10,289
1/26/2017,2017,1,26,11,308
1/26/2017,2017,1,26,12,311
1/26/2017,2017,1,26,13,152
1/26/2017,2017,1,26,14,93
1/26/2017,2017,1,26,15,38
1/26/2017,2017,1,26,16,14
1/26/2017,2017,1,26,17,16
1/26/2017,2017,1,26,18,11
1/26/2017,2017,1,26,19,9
1/26/2017,2017,1,26,20,11
1/26/2017,2017,1,26,21,7
1/26/2017,2017,1,26,22,3
1/26/2017,2017,1,26,23,6
1/27/2017,2017,1,27,0,7
1/27/2017,2017,1,27,1,10
1/27/2017,2017,1,27,2,12
1/27/2017,2017,1,27,3,8
1/27/2017,2017,1,27,4,6
1/27/2017,2017,1,27,5,5
1/27/2017,2017,1,27,6,10
1/27/2017,2017,1,27,7,17
1/27/2017,2017,1,27,8,16
1/27/2017,2017,1,27,9,13
1/27/2017,2017,1,27,10,28
1/27/2017,2017,1,27,11,27
1/27/2017,2017,1,27,12,48
1/27/2017,2017,1,27,13,42
1/27/2017,2017,1,27,14,48
1/27/2017,2017,1,27,15,46
1/27/2017,2017,1,27,16,53
1/27/2017,2017,1,27,17,65
1/27/2017,2017,1,27,18,76
1/27/2017,2017,1,27,19,97
1/27/2017,2017,1,27,20,118
1/27/2017,2017,1,27,21,171
1/27/2017,2017,1,27,22,261
1/27/2017,2017,1,27,23,359
1/28/2017,2017,1,28,0,-999
1/28/2017,2017,1,28,1,-999
1/28/2017,2017,1,28,2,-999
1/28/2017,2017,1,28,3,-999
1/28/2017,2017,1,28,4,-999
1/28/2017,2017,1,28,5,-999
1/28/2017,2017,1,28,6,-999
1/28/2017,2017,1,28,7,450
1/28/2017,2017,1,28,8,395
1/28/2017,2017,1,28,9,313
1/28/2017,2017,1,28,10,267
1/28/2017,2017,1,28,11,262
1/28/2017,2017,1,28,12,275
1/28/2017,2017,1,28,13,257
1/28/2017,2017,1,28,14,241
1/28/2017,2017,1,28,15,254
1/28/2017,2017,1,28,16,262
1/28/2017,2017,1,28,17,262
1/28/2017,2017,1,28,18,246
1/28/2017,2017,1,28,19,251
1/28/2017,2017,1,28,20,269
1/28/2017,2017,1,28,21,282
1/28/2017,2017,1,28,22,299
1/28/2017,2017,1,28,23,287
1/29/2017,2017,1,29,0,313
1/29/2017,2017,1,29,1,307
1/29/2017,2017,1,29,2,259
1/29/2017,2017,1,29,3,42
1/29/2017,2017,1,29,4,11
1/29/2017,2017,1,29,5,9
1/29/2017,2017,1,29,6,7
1/29/2017,2017,1,29,7,12
1/29/2017,2017,1,29,8,9
1/29/2017,2017,1,29,9,13
1/29/2017,2017,1,29,10,10
1/29/2017,2017,1,29,11,12
1/29/2017,2017,1,29,12,16
1/29/2017,2017,1,29,13,18
1/29/2017,2017,1,29,14,11
1/29/2017,2017,1,29,15,15
1/29/2017,2017,1,29,16,16
1/29/2017,2017,1,29,17,17
1/29/2017,2017,1,29,18,15
1/29/2017,2017,1,29,19,15
1/29/2017,2017,1,29,20,14
1/29/2017,2017,1,29,21,9
1/29/2017,2017,1,29,22,6
1/29/2017,2017,1,29,23,12
1/30/2017,2017,1,30,0,12
1/30/2017,2017,1,30,1,10
1/30/2017,2017,1,30,2,14
1/30/2017,2017,1,30,3,8
1/30/2017,2017,1,30,4,11
1/30/2017,2017,1,30,5,8
1/30/2017,2017,1,30,6,8
1/30/2017,2017,1,30,7,10
1/30/2017,2017,1,30,8,10
1/30/2017,2017,1,30,9,17
1/30/2017,2017,1,30,10,13
1/30/2017,2017,1,30,11,11
1/30/2017,2017,1,30,12,10
1/30/2017,2017,1,30,13,10
1/30/2017,2017,1,30,14,12
1/30/2017,2017,1,30,15,15
1/30/2017,2017,1,30,16,20
1/30/2017,2017,1,30,17,25
1/30/2017,2017,1,30,18,121
1/30/2017,2017,1,30,19,86
1/30/2017,2017,1,30,20,72
1/30/2017,2017,1,30,21,75
1/30/2017,2017,1,30,22,72
1/30/2017,2017,1,30,23,73
1/31/2017,2017,1,31,0,86
1/31/2017,2017,1,31,1,95
1/31/2017,2017,1,31,2,98
1/31/2017,2017,1,31,3,102
1/31/2017,2017,1,31,4,100
1/31/2017,2017,1,31,5,111
1/31/2017,2017,1,31,6,113
1/31/2017,2017,1,31,7,112
1/31/2017,2017,1,31,8,100
1/31/2017,2017,1,31,9,102
1/31/2017,2017,1,31,10,91
1/31/2017,2017,1,31,11,79
1/31/2017,2017,1,31,12,77
1/31/2017,2017,1,31,13,75
1/31/2017,2017,1,31,14,78
1/31/2017,2017,1,31,15,80
1/31/2017,2017,1,31,16,82
1/31/2017,2017,1,31,17,77
1/31/2017,2017,1,31,18,76
1/31/2017,2017,1,31,19,98
1/31/2017,2017,1,31,20,110
1/31/2017,2017,1,31,21,55
1/31/2017,2017,1,31,22,15
1/31/2017,2017,1,31,23,9
2/1/2017,2017,2,1,0,7
2/1/2017,2017,2,1,1,6
2/1/2017,2017,2,1,2,5
2/1/2017,2017,2,1,3,6
2/1/2017,2017,2,1,4,7
2/1/2017,2017,2,1,5,9
2/1/2017,2017,2,1,6,7
2/1/2017,2017,2,1,7,10
2/1/2017,2017,2,1,8,8
2/1/2017,2017,2,1,9,9
2/1/2017,2017,2,1,10,12
2/1/2017,2017,2,1,11,9
2/1/2017,2017,2,1,12,10
2/1/2017,2017,2,1,13,10
2/1/2017,2017,2,1,14,14
2/1/2017,2017,2,1,15,19
2/1/2017,2017,2,1,16,17
2/1/2017,2017,2,1,17,16
2/1/2017,2017,2,1,18,51
2/1/2017,2017,2,1,19,57
2/1/2017,2017,2,1,20,95
2/1/2017,2017,2,1,21,125
2/1/2017,2017,2,1,22,134
2/1/2017,2017,2,1,23,146
2/2/2017,2017,2,2,0,181
2/2/2017,2017,2,2,1,190
2/2/2017,2017,2,2,2,154
2/2/2017,2017,2,2,3,121
2/2/2017,2017,2,2,4,90
2/2/2017,2017,2,2,5,65
2/2/2017,2017,2,2,6,52
2/2/2017,2017,2,2,7,40
